Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Telangana,"Calendar Year (Jan - Dec), 2018",Open Area,10,9,888,3224,8488,8135,9376
India,Telangana,"Calendar Year (Jan - Dec), 2018",Others,,,757,1537,5752,6375,6509
India,Telangana,"Calendar Year (Jan - Dec), 2018",Residential Area,,,232,880,3203,3312,3435
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,15.00000000000000000000,11.00000000000000000000,0.00000000000000000000,20.00000000000000000000,15.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,13.00000000000000000000,16.00000000000000000000,3.00000000000000000000,26.00000000000000000000,16.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2018",Open Area,33,34,12.00000000000000000000,10.00000000000000000000,8.00000000000000000000,18.00000000000000000000,20.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2018",Open Area,36,36,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2018",Others,,,7.00000000000000000000,2.00000000000000000000,1.00000000000000000000,7.00000000000000000000,8.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2018",Residential Area,,,66.00000000000000000000,50.00000000000000000000,35.00000000000000000000,85.00000000000000000000,101.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,101,28,2,85,103
India,Tripura,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,127,31,2,97,129
India,Tripura,"Calendar Year (Jan - Dec), 2018",Open Area,27,28,214,62,3,130,217
India,Tripura,"Calendar Year (Jan - Dec), 2018",Others,,,0,0,0,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Residential Area,,,286,92,6,240,292
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,2293,2481,1136,4959,3429
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,3713,3599,1650,7384,5363
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Open Area,2,5,6884,8351,3011,15131,9895
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Others,,,3944,4188,1963,8048,5907
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Residential Area,,,3483,3637,1587,7046,5070
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,59,46,23,87,82
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,205,167,28,286,233
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Open Area,21,23,528,508,96,572,624
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Others,,,288,186,36,234,324
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Residential Area,,,261,140,47,289,308
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,263,128,130,342,393
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,1350,854,298,1911,1648
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Open Area,14,13,3804,2105,1400,5238,5204
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Others,,,1521,964,368,1839,1889
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Residential Area,,,2439,1660,424,3375,2863
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,4,2,20,24,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,25,8,31,53,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2017",Open Area,,,11,3,61,31,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2017",Others,,,13,3,36,38,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2017",Residential Area,,,12,5,50,43,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,490,492,1034,1358,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,787,687,1618,2404,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",Open Area,,,2903,4347,11126,13275,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",Others,,,1258,798,2190,2772,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",Residential Area,,,1740,1736,4329,5918,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,27,19,24,38,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,36,21,26,35,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",Open Area,,,59,26,28,57,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",Others,,,41,30,25,63,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",Residential Area,,,29,14,21,48,
India,Assam,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,400,196,123,584,
India,Assam,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,902,521,213,1324,
India,Assam,"Calendar Year (Jan - Dec), 2017",Open Area,,,1876,937,265,2456,
India,Assam,"Calendar Year (Jan - Dec), 2017",Others,,,910,690,386,1582,
India,Assam,"Calendar Year (Jan - Dec), 2017",Residential Area,,,923,439,165,1224,
India,Bihar,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,316,406,170,665,
India,Bihar,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,766,799,359,1448,
India,Bihar,"Calendar Year (Jan - Dec), 2017",Open Area,,,1584,2323,593,3536,
India,Bihar,"Calendar Year (Jan - Dec), 2017",Others,,,572,762,340,1273,
India,Bihar,"Calendar Year (Jan - Dec), 2017",Residential Area,,,971,1264,343,1933,
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,1,4,11,18,
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,1,10,34,41,
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",Open Area,,,4,82,209,231,
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",Others,,,0,0,1,1,
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",Residential Area,,,1,11,40,51,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,133,221,523,682,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,239,553,1373,2134,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",Open Area,,,814,1968,4714,5798,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",Others,,,373,562,1667,2093,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",Residential Area,,,598,832,2116,2856,
India,Delhi,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,56,72,212,263,
India,Delhi,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,186,157,704,850,
India,Delhi,"Calendar Year (Jan - Dec), 2017",Open Area,,,501,897,2590,3285,
India,Delhi,"Calendar Year (Jan - Dec), 2017",Others,,,227,239,1039,1293,
India,Delhi,"Calendar Year (Jan - Dec), 2017",Residential Area,,,110,219,979,982,
India,Goa,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,6,7,31,120,
India,Goa,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,75,61,371,806,
India,Goa,"Calendar Year (Jan - Dec), 2017",Open Area,,,224,166,587,1810,
India,Goa,"Calendar Year (Jan - Dec), 2017",Others,,,0,0,0,0,
India,Goa,"Calendar Year (Jan - Dec), 2017",Residential Area,,,97,94,531,1181,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,759,493,768,1586,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,1064,684,1190,2430,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Open Area,,,4437,4453,4107,9933,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Others,,,338,308,529,764,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",Residential Area,,,1852,1351,1758,4368,
India,Haryana,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,224,363,677,908,
India,Haryana,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,292,632,1122,1498,
India,Haryana,"Calendar Year (Jan - Dec), 2017",Open Area,,,1092,2096,3162,4774,
India,Haryana,"Calendar Year (Jan - Dec), 2017",Others,,,497,1226,1625,2240,
India,Haryana,"Calendar Year (Jan - Dec), 2017",Residential Area,,,323,803,1325,1838,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,58,38,171,141,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,174,97,355,421,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",Open Area,,,663,700,2387,1490,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",Others,,,223,135,433,436,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",Residential Area,,,306,233,682,626,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,70.42513392353041373520,14.67190290073550286150,77.27202194387364840390,126.17836494632532460890,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,181.93159596912023548260,83.14078310416784954850,479.28216142402642680900,622.08868299118532132760,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2017",Open Area,,,2518.67666462626132455750,556.55418336790007521290,1569.89361037869880618050,2911.88366236597280124570,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2017",Others,,,706.20759295540220440020,163.34718562818859852470,706.20759295540220440020,1104.30522499535884870890,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2017",Residential Area,,,244.53171501225838102500,88.03141740441301716900,702.29508551520607030380,736.52952561692224364730,
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,289,264,57,504,
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,734,671,172,1178,
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",Open Area,,,1013,952,192,1504,
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",Others,,,734,761,161,1005,
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",Residential Area,,,427,608,139,1007,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,1233,333,1762,2123,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,2522,704,2032,3681,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",Open Area,,,16404,8706,23460,32179,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",Others,,,418,218,1005,853,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",Residential Area,,,1914,648,2211,3706,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,2004,252,873,2535,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,1372,198,983,1689,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Open Area,,,19211,2530,7234,24681,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Others,,,0,0,0,0,
India,Kerala,"Calendar Year (Jan - Dec), 2017",Residential Area,,,7146,1151,3848,9565,
India,Ladakh,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,1.57486607646958626480,0.32809709926449713850,1.72797805612635159610,2.82163505367467539110,
India,Ladakh,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,4.06840403087976451740,1.85921689583215045150,10.71783857597357319100,13.91131700881467867240,
India,Ladakh,"Calendar Year (Jan - Dec), 2017",Open Area,,,56.32333537373867544250,12.44581663209992478710,35.10638962130119381950,65.11633763402719875430,
India,Ladakh,"Calendar Year (Jan - Dec), 2017",Others,,,15.79240704459779559980,3.65281437181140147530,15.79240704459779559980,24.69477500464115129110,
India,Ladakh,"Calendar Year (Jan - Dec), 2017",Residential Area,,,5.46828498774161897500,1.96858259558698283100,15.70491448479392969620,16.47047438307775635270,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,0,0,0,0,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,0,0,0,0,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",Open Area,,,0,0,0,0,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",Others,,,1,0,0,1,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",Residential Area,,,0,0,0,0,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,238,320,1787,2010,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,777,775,5544,6166,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",Open Area,,,2754,5056,21240,21148,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",Others,,,1467,2174,12391,13279,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",Residential Area,,,1479,1852,9855,10796,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,1405,653,819,2637,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,2216,1226,1088,3908,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Open Area,,,13863,8598,7811,23802,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Others,,,0,0,0,0,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",Residential Area,,,2981,1787,1945,5506,
India,Manipur,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,8,7,48,32,
India,Manipur,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,25,13,150,107,
India,Manipur,"Calendar Year (Jan - Dec), 2017",Open Area,,,169,73,224,214,
India,Manipur,"Calendar Year (Jan - Dec), 2017",Others,,,16,2,21,20,
India,Manipur,"Calendar Year (Jan - Dec), 2017",Residential Area,,,43,41,323,205,
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,47,31,21,120,
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,62,49,36,193,
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",Open Area,,,70,41,18,163,
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",Others,,,38,34,15,99,
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",Residential Area,,,36,27,11,100,
India,Mizoram,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,7,1,2,1,
India,Mizoram,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,1,2,1,2,
India,Mizoram,"Calendar Year (Jan - Dec), 2017",Open Area,,,3,14,3,18,
India,Mizoram,"Calendar Year (Jan - Dec), 2017",Others,,,8,23,10,20,
India,Mizoram,"Calendar Year (Jan - Dec), 2017",Residential Area,,,8,20,12,27,
India,Nagaland,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,17,2,22,50,
India,Nagaland,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,71,16,125,285,
India,Nagaland,"Calendar Year (Jan - Dec), 2017",Open Area,,,12,13,32,68,
India,Nagaland,"Calendar Year (Jan - Dec), 2017",Others,,,2,6,20,37,
India,Nagaland,"Calendar Year (Jan - Dec), 2017",Residential Area,,,20,4,54,91,
India,Odisha,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,449,280,410,721,
India,Odisha,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,1110,795,809,2057,
India,Odisha,"Calendar Year (Jan - Dec), 2017",Open Area,,,2345,2174,2320,4433,
India,Odisha,"Calendar Year (Jan - Dec), 2017",Others,,,1067,831,917,1903,
India,Odisha,"Calendar Year (Jan - Dec), 2017",Residential Area,,,940,710,831,1741,
India,Puducherry,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,48,23,107,140,
India,Puducherry,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,169,61,302,460,
India,Puducherry,"Calendar Year (Jan - Dec), 2017",Open Area,,,133,77,341,531,
India,Puducherry,"Calendar Year (Jan - Dec), 2017",Others,,,121,30,188,241,
India,Puducherry,"Calendar Year (Jan - Dec), 2017",Residential Area,,,141,42,191,321,
India,Punjab,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,251,568,192,597,
India,Punjab,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,397,517,146,888,
India,Punjab,"Calendar Year (Jan - Dec), 2017",Open Area,,,1591,2297,473,3238,
India,Punjab,"Calendar Year (Jan - Dec), 2017",Others,,,0,0,0,0,
India,Punjab,"Calendar Year (Jan - Dec), 2017",Residential Area,,,970,1081,198,1550,
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,286,251,526,749,
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,792,858,1739,2456,
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Open Area,,,3705,7119,9581,13490,
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Others,,,560,655,1092,1537,
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Residential Area,,,1140,1561,2650,3880,
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,8,4,10,6,
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,13,4,9,12,
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Open Area,,,112,54,134,104,
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Others,,,46,4,59,22,
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Residential Area,,,30,12,58,52,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,567,1195,4461,4471,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,1350,2237,8394,9322,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Open Area,,,2749,8806,35720,32635,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Others,,,670,836,3758,4470,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Residential Area,,,1252,3083,15650,14664,
India,Telangana,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,48,294,991,1116,
India,Telangana,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,253,654,3019,3371,
India,Telangana,"Calendar Year (Jan - Dec), 2017",Open Area,,,808,3443,10181,9315,
India,Telangana,"Calendar Year (Jan - Dec), 2017",Others,,,372,1349,4723,5150,
India,Telangana,"Calendar Year (Jan - Dec), 2017",Residential Area,,,242,856,3353,3532,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,8.00000000000000000000,4.00000000000000000000,1.00000000000000000000,7.00000000000000000000,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,14.00000000000000000000,23.00000000000000000000,3.00000000000000000000,37.00000000000000000000,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2017",Open Area,,,10.00000000000000000000,6.00000000000000000000,0.00000000000000000000,13.00000000000000000000,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2017",Others,,,51.00000000000000000000,39.00000000000000000000,14.00000000000000000000,66.00000000000000000000,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2017",Residential Area,,,23.00000000000000000000,7.00000000000000000000,6.00000000000000000000,23.00000000000000000000,
India,Tripura,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,75,22,0,60,
India,Tripura,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,122,29,2,102,
India,Tripura,"Calendar Year (Jan - Dec), 2017",Open Area,,,280,56,5,167,
India,Tripura,"Calendar Year (Jan - Dec), 2017",Others,,,0,0,0,0,
India,Tripura,"Calendar Year (Jan - Dec), 2017",Residential Area,,,233,54,1,174,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,2073,2226,1026,4548,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,3077,2944,1435,6082,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Open Area,,,7160,7599,2705,13828,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Others,,,3417,3827,1594,7448,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Residential Area,,,3422,3528,1585,6877,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,79,77,11,139,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,224,137,37,281,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Open Area,,,760,549,168,825,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Others,,,175,59,18,137,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Residential Area,,,142,120,17,221,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",Institutional Area,,,335,268,115,588,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",Market/ Commercial Area,,,1168,831,262,1809,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",Open Area,,,2152,1593,600,2760,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",Others,,,2260,1545,478,3121,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",Residential Area,,,2271,1532,450,3353,
