Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Odisha,"Calendar Year (Jan - Dec), 2023",Open Area,,,2898,3003,2068,5879,4966
India,Odisha,"Calendar Year (Jan - Dec), 2023",Others,,,668,547,318,1174,986
India,Odisha,"Calendar Year (Jan - Dec), 2023",Residential Area,,,1113,988,647,2031,1760
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,74,19,41,113,115
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,253,31,592,677,845
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Open Area,,,98,20,80,171,178
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Others,,,24,1,36,28,60
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Residential Area,,,154,78,226,319,380
India,Punjab,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,179,365,108,513,287
India,Punjab,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,334,587,161,867,495
India,Punjab,"Calendar Year (Jan - Dec), 2023",Open Area,,,1172,2457,401,3155,1573
India,Punjab,"Calendar Year (Jan - Dec), 2023",Others,,,271,705,76,798,347
India,Punjab,"Calendar Year (Jan - Dec), 2023",Residential Area,,,362,715,142,936,504
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,299,314,578,867,877
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,572,756,1598,2336,2170
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Open Area,,,4150,8523,10859,16030,15009
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Others,,,693,1047,1287,2197,1980
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Residential Area,,,646,1122,2359,3264,3005
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,14,4,10,11,24
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,21,5,3,22,24
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Open Area,,,85,32,119,80,204
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Others,,,8,8,1,18,9
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Residential Area,,,24,8,77,51,101
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,4584,2595,6830,10659,11414
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,6964,4276,10911,17237,17875
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Open Area,,,8844,7665,18453,24612,27297
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Others,,,105,160,425,460,530
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Residential Area,,,5874,3651,9302,14245,15176
India,Telangana,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,102,123,514,709,616
India,Telangana,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,298,460,2272,2810,2570
India,Telangana,"Calendar Year (Jan - Dec), 2023",Open Area,,,1494,4234,7838,9931,9332
India,Telangana,"Calendar Year (Jan - Dec), 2023",Others,,,185,1461,3907,4692,4092
India,Telangana,"Calendar Year (Jan - Dec), 2023",Residential Area,,,1092,1382,3320,4761,4412
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,13,11,10,20,23
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,30,25,17,53,47
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2023",Open Area,,,22,9,44,34,66
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2023",Others,,,0,0,0,0,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2023",Residential Area,,,63,29,34,75,97
India,Tripura,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,48,23,0,49,48
India,Tripura,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,80,34,2,85,82
India,Tripura,"Calendar Year (Jan - Dec), 2023",Open Area,,,119,54,0,101,119
India,Tripura,"Calendar Year (Jan - Dec), 2023",Others,,,0,0,0,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2023",Residential Area,,,359,150,1,342,360
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,2236,2348,1252,4520,3488
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,3479,3817,2095,7473,5574
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2023",Open Area,,,7316,9805,4028,17636,11344
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2023",Others,,,2876,3284,1854,6333,4730
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2023",Residential Area,,,3864,4398,2098,8572,5962
India,Uttarakhand,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,28,27,14,54,42
India,Uttarakhand,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,182,165,65,344,247
India,Uttarakhand,"Calendar Year (Jan - Dec), 2023",Open Area,,,647,642,203,906,850
India,Uttarakhand,"Calendar Year (Jan - Dec), 2023",Others,,,71,54,6,71,77
India,Uttarakhand,"Calendar Year (Jan - Dec), 2023",Residential Area,,,176,166,96,316,272
India,West Bengal,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,279,182,38,368,317
India,West Bengal,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,1837,952,288,2407,2125
India,West Bengal,"Calendar Year (Jan - Dec), 2023",Open Area,,,3888,2356,753,4944,4641
India,West Bengal,"Calendar Year (Jan - Dec), 2023",Others,,,1325,579,313,1688,1638
India,West Bengal,"Calendar Year (Jan - Dec), 2023",Residential Area,,,3404,1958,490,4388,3894
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,11,4,13,26,24
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,21,4,30,44,51
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Open Area,,,7,1,6,14,13
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Others,,,0,0,0,0,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Residential Area,,,21,10,27,57,48
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,309,404,820,1168,1129
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,815,883,1691,2768,2506
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Open Area,,,2873,5064,9424,11665,12297
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Others,,,499,382,501,1116,1000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Residential Area,,,1298,1560,3110,4532,4408
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,15,10,4,21,19
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,32,35,14,53,46
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Open Area,,,61,70,18,105,79
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Others,,,12,15,3,19,15
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Residential Area,,,22,18,5,29,27
India,Assam,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,609,295,82,808,691
India,Assam,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,928,529,111,1327,1039
India,Assam,"Calendar Year (Jan - Dec), 2022",Open Area,,,1526,1045,144,2220,1670
India,Assam,"Calendar Year (Jan - Dec), 2022",Others,,,446,302,64,673,510
India,Assam,"Calendar Year (Jan - Dec), 2022",Residential Area,,,1542,823,185,1995,1727
India,Bihar,"Calendar Year (Jan - Dec), 2022",Institutional Area,,,421,550,6,658,427
India,Bihar,"Calendar Year (Jan - Dec), 2022",Market/ Commercial Area,,,1076,1192,48,1595,1124
India,Bihar,"Calendar Year (Jan - Dec), 2022",Open Area,,,3703,5171,85,6093,3788
India,Bihar,"Calendar Year (Jan - Dec), 2022",Others,,,129,153,1,183,130
